Date,Open,High,Low,Close,Adj Close,Volume
2023-09-20,3580.000000,3625.000000,3580.000000,3606.050049,3606.050049,1649396
2023-09-21,3588.550049,3605.000000,3528.000000,3585.300049,3585.300049,2004073
2023-09-22,3584.000000,3633.750000,3565.050049,3603.649902,3603.649902,1989083
2023-09-25,3602.500000,3620.000000,3558.649902,3577.149902,3577.149902,1238778
2023-09-26,3567.600098,3594.949951,3536.000000,3585.699951,3585.699951,1726062
2023-09-27,3590.000000,3614.000000,3555.699951,3589.300049,3589.300049,1541134
2023-09-28,3600.000000,3602.800049,3527.350098,3536.750000,3536.750000,1755753
2023-09-29,3537.199951,3568.449951,3505.550049,3528.600098,3528.600098,2243791
2023-10-03,3534.199951,3534.199951,3480.100098,3513.850098,3513.850098,1948148
2023-10-04,3486.300049,3548.000000,3477.300049,3537.750000,3537.750000,1788138
2023-10-05,3554.000000,3624.000000,3551.199951,3589.350098,3589.350098,2990768
2023-10-06,3591.000000,3634.949951,3575.050049,3621.399902,3621.399902,2075691
2023-10-09,3645.050049,3679.000000,3631.000000,3638.350098,3638.350098,4233074
2023-10-10,3640.050049,3648.000000,3601.350098,3628.899902,3628.899902,1848148
2023-10-11,3650.000000,3650.000000,3605.000000,3609.899902,3609.899902,2426417
2023-10-12,3575.000000,3588.649902,3538.100098,3542.550049,3542.550049,4241281
2023-10-13,3530.000000,3577.000000,3525.000000,3570.850098,3570.850098,2890357
2023-10-16,3566.000000,3574.649902,3519.100098,3524.050049,3524.050049,1671104
2023-10-17,3530.000000,3534.149902,3503.350098,3507.050049,3507.050049,1672065
2023-10-18,3511.000000,3522.699951,3484.000000,3487.250000,3487.250000,1406653
